Rk,Player,,,Team,Conf,Role,Min%,PRPG!,D-PRPG,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FTA,FT %,2PA,2P %,3P/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sr,7-Jun,Pablo Tamba,UC Davis,BW,Wing G,69.2,1.2,2.8,-0.2,101.9,102.2,21.3,58.5,60.6,6,16.2,9.9,23.4,3,2.5,52.3,75-114,0.658,123-205,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sr,2-Jun,Stephan Swenson,UC Santa Barbara,BW,Scoring PG,75.6,3,2.9,5.3,114,104.6,24.1,56.9,59.1,1.9,12.6,29.9,18.3,0.7,3.7,19.8,52-66,0.788,59-132,0.447,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sr,9-Jun,Niko Rocak,UC Davis,BW,PF/C,62.4,0.8,2.9,1.8,110.7,97.9,13.3,56.8,61.2,9.1,22.6,10.8,23.4,8.7,2,65,48-67,0.716,42-72,0.583,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fr,5-Jun,Jurian Dixon,UC Irvine,BW,Wing G,65.4,1.1,3,0.4,106.3,98.9,17.4,48,52.4,3.4,8.7,12.2,12.8,0.2,1.9,34.6,71-94,0.755,87-184,0.473,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,So,2-Jun,Myles Che,UC Irvine,BW,Scoring PG,69,1.5,3,-0.4,100.7,100.9,23.9,48.1,55.1,2,7.1,18.9,21.2,0.1,1.4,44.2,127-151,0.841,85-219,0.388,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jr,8-Jun,Nordin Kapic,UC San Diego,BW,Stretch 4,61.9,1.6,3.2,0.4,104.4,95.9,23.7,48,52.5,6.7,17.5,9.5,13.9,2.3,2,36.2,75-101,0.743,56-112,0.5,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sr,3-Jun,Ty Johnson,UC Davis,BW,Scoring PG,84.6,2,3.4,0.2,90.8,102.9,38.3,41.5,47.5,2.8,10.7,25.3,17.9,0.6,3.8,37.9,164-214,0.766,177-433,0.409,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sr,5-Jun,Tyler McGhie,UC San Diego,BW,Wing G,78.1,3,3.6,4,113.2,98.5,24.1,52.2,55,1.2,14.2,10.9,5.8,1,1.8,17,67-78,0.859,80-166,0.482,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sr,1-Jun,Justin Hohn,UC Irvine,BW,Scoring PG,73.5,0.9,3.6,0.1,94.4,97,24.4,47.4,50.2,1.3,9.6,24.8,21.6,0.1,2.5,20.4,62-83,0.747,82-200,0.41,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sr,6-Jun,Keonte Jones,Cal St. Northridge,BW,PF/C,77.3,2.4,3.7,5.8,109,97.6,23.4,51,54.9,10,22.6,22.9,20.3,6.2,3.1,52.9,103-154,0.669,132-259,0.51,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sr,6-Jun,Aniwaniwa Tait-Jones,UC San Diego,BW,Wing G,76.4,5.3,3.8,9.5,124.9,96.2,30.5,59,64.7,5.6,15.7,26.2,13.4,2,2.3,79.8,218-288,0.757,192-315,0.61,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sr,Jul-00,Bent Leuchten,UC Irvine,BW,PF/C,66.4,3.9,3.8,8.6,124.5,90.5,25.5,56.7,64.5,11.3,25.2,12.5,13.2,5.1,1.1,76.4,206-252,0.817,160-288,0.556,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sr,6-Jun,Devin Tillis,UC Irvine,BW,Wing F,71.6,3.2,3.9,6.3,119.7,93.9,21,59.7,62.4,6.8,21.2,17.6,14.6,0.7,1.4,25.1,74-91,0.813,144-239,0.603,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jr,6-Jun,Chris Howell,UC San Diego,BW,Scoring PG,74.1,1.5,3.9,3.2,117.7,93.8,12.5,51.8,56.4,4.3,11.3,16.7,18,1.1,4.3,44.9,46-62,0.742,40-76,0.526,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sr,4-Jun,Hayden Gray,UC San Diego,BW,Scoring PG,82.7,2.5,4.6,7.1,117.1,91.8,17.5,58.6,59.4,2.3,8.9,18.7,14.7,1,5.7,15.1,30-44,0.682,81-146,0.555,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
